1,1,-2.3121475521451846,-2.3121475521442707,-4.567588137781379E-13,4.567588137781379E-13,-2.3121475521447277,8.407809280526282
1,2,-2.4266224962790655,-2.19767260801039,-0.1144749441343376,0.1144749441343376,-2.3121475521447277,null
2,2,-2.426622496278897,-2.197672608010558,-0.11447494413416948,0.11447494413416948,-2.3121475521447277,8.407809280526282
2,3,-2.3911191633772426,-2.2331759409122127,-0.07897161123251516,0.07897161123251516,-2.3121475521447277,null
3,3,-4.282746037450811,-4.124802814985961,-0.07897161123242487,0.07897161123242487,-4.203774426218386,15.286452458975948
3,4,-4.395361199845506,-4.012187652591266,-0.19158677362711934,0.19158677362711934,-4.203774426218386,null
4,4,-5.866486878316397,-5.483313331062019,-0.1915867736271889,0.1915867736271889,-5.674900104689208,20.636000380688024
4,5,-5.875225926178664,-5.474574283199751,-0.20032582148945652,0.20032582148945652,-5.674900104689208,null
5,5,-6.926253062825462,-6.525601419846537,-0.2003258214894623,0.2003258214894623,-6.725927241336,24.457917241221814
5,6,-6.948522264256458,-6.503332218415541,-0.2225950229204586,0.2225950229204586,-6.725927241336,null
6,6,-7.579104951036792,-7.133914905195885,-0.2225950229204534,0.2225950229204534,-7.356509928116338,26.75094519315032
6,7,-7.58300960535642,-7.130010250876257,-0.22649967724008152,0.22649967724008152,-7.356509928116338,null
7,7,-7.583009605356499,-7.130010250876324,-0.22649967724008777,0.22649967724008777,-7.356509928116411,26.750945193150585
7,8,-7.57910495103687,-7.133914905195953,-0.22259502292045807,0.22259502292045807,-7.356509928116411,null
8,8,-6.948522264256475,-6.503332218415554,-0.22259502292046018,0.22259502292046018,-6.725927241336015,24.45791724122187
8,9,-6.926253062825492,-6.525601419846537,-0.20032582148947797,0.20032582148947797,-6.725927241336015,null
9,9,-5.8752259261785955,-5.47457428319964,-0.20032582148947725,0.20032582148947725,-5.674900104689118,20.6360003806877
9,10,-5.866486878316262,-5.483313331061974,-0.1915867736271439,0.1915867736271439,-5.674900104689118,null
10,10,-4.39536119984543,-4.012187652591139,-0.19158677362714516,0.19158677362714516,-4.203774426218285,15.28645245897558
10,11,-4.282746037450703,-4.124802814985866,-0.07897161123241818,0.07897161123241818,-4.203774426218285,null
11,11,-2.3911191633770024,-2.233175940912174,-0.07897161123241397,0.07897161123241397,-2.3121475521445882,8.407809280525775
11,12,-2.426622496278941,-2.1976726080102353,-0.11447494413435305,0.11447494413435305,-2.3121475521445882,null
12,12,-2.426622496278932,-2.1976726080102296,-0.11447494413435097,0.11447494413435097,-2.3121475521445807,8.407809280525747
12,13,-2.3121475521447366,-2.312147552144425,-1.560007025519179E-13,1.560007025519179E-13,-2.3121475521445807,null
13,14,4.203774426218188,4.203774426218183,2.8108234694039256E-15,-2.8108234694039256E-15,4.203774426218185,15.286452458975218
13,15,4.044158366013045,4.3633904864233255,-0.15961606020514024,0.15961606020514024,4.203774426218185,null
14,15,5.515284044483898,5.834516164894169,-0.15961606020513602,0.15961606020513602,5.6749001046890335,20.636000380687392
14,16,5.505067595420887,5.84473261395718,-0.16983250926814605,0.16983250926814605,5.6749001046890335,null
15,16,6.556094732067706,6.895759750604002,-0.16983250926814802,0.16983250926814802,6.725927241335854,24.457917241221285
15,17,6.519102990881065,6.9327514917906425,-0.20682425045478828,0.20682425045478828,6.725927241335854,null
16,17,7.149685677661433,7.563334178570992,-0.20682425045478003,0.20682425045478003,7.356509928116212,26.75094519314986
16,18,7.138190428048471,7.574829428183953,-0.21831950006774103,0.21831950006774103,7.356509928116212,null
17,18,7.348413948830909,7.785052948966373,-0.21831950006773232,0.21831950006773232,7.566733448898641,27.51539435963142
17,19,7.346579442541398,7.786887455255884,-0.2201540063572423,0.2201540063572423,7.566733448898641,null
18,19,7.346579442541386,7.78688745525588,-0.22015400635724733,0.22015400635724733,7.566733448898633,27.51539435963139
18,20,7.348413948830893,7.785052948966373,-0.21831950006774067,0.21831950006774067,7.566733448898633,null
19,20,7.138190428048583,7.574829428184083,-0.21831950006775017,0.21831950006775017,7.356509928116333,26.7509451931503
19,21,7.149685677661543,7.5633341785711234,-0.20682425045479005,0.20682425045479005,7.356509928116333,null
20,21,6.519102990881192,6.932751491790771,-0.20682425045478933,0.20682425045478933,6.725927241335982,24.45791724122175
20,22,6.55609473206784,6.895759750604124,-0.16983250926814186,0.16983250926814186,6.725927241335982,null
21,22,5.505067595420958,5.844732613957244,-0.16983250926814236,0.16983250926814236,5.674900104689101,20.636000380687637
21,23,5.515284044483964,5.834516164894238,-0.15961606020513638,0.15961606020513638,5.674900104689101,null
22,23,4.044158366013124,4.363390486423406,-0.15961606020514094,0.15961606020514094,4.203774426218265,15.286452458975509
22,24,4.203774426218266,4.203774426218264,7.027058673509814E-16,-7.027058673509814E-16,4.203774426218265,null
23,2,-0.41948709417213365,-0.41948709417213365,0.0,-0.0,-0.41948709417213365,1.525407615171395
23,14,-0.41948709417213365,-0.41948709417213365,-0.0,0.0,-0.41948709417213365,null
24,3,1.470502231754828,1.470502231754828,0.0,-0.0,1.470502231754828,5.347280842744828
24,15,1.470502231754828,1.470502231754828,-0.0,0.0,1.470502231754828,null
25,4,1.0513392974893532,1.0513392974893532,0.0,-0.0,1.0513392974893532,3.823051990870375
25,16,1.0513392974893532,1.0513392974893532,-0.0,0.0,1.0513392974893532,null
26,5,0.6306172491964053,0.6306172491964053,0.0,-0.0,0.6306172491964053,2.2931536334414737
26,17,0.6306172491964053,0.6306172491964053,-0.0,0.0,0.6306172491964053,null
27,6,0.21034218170208085,0.21034218170208085,0.0,-0.0,0.21034218170208085,0.7648806607348394
27,18,0.21034218170208085,0.21034218170208085,-0.0,0.0,0.21034218170208085,null
28,7,9.602781861727987E-5,9.602781861727987E-5,0.0,-0.0,9.602781861727987E-5,3.491920676991995E-4
28,19,9.602781861727987E-5,9.602781861727987E-5,-0.0,0.0,9.602781861727987E-5,null
29,8,0.2103421817021114,0.2103421817021114,0.0,-0.0,0.2103421817021114,0.7648806607349505
29,20,0.2103421817021114,0.2103421817021114,-0.0,0.0,0.2103421817021114,null
30,9,0.6306172491964053,0.6306172491964053,0.0,-0.0,0.6306172491964053,2.2931536334414737
30,21,0.6306172491964053,0.6306172491964053,-0.0,0.0,0.6306172491964053,null
31,10,1.0513392974893836,1.0513392974893836,0.0,-0.0,1.0513392974893836,3.8230519908704856
31,22,1.0513392974893836,1.0513392974893836,-0.0,0.0,1.0513392974893836,null
32,11,1.4705022317548584,1.4705022317548584,0.0,-0.0,1.4705022317548584,5.347280842744939
32,23,1.4705022317548584,1.4705022317548584,-0.0,0.0,1.4705022317548584,null
33,12,-0.41948709417213365,-0.41948709417213365,0.0,-0.0,-0.41948709417213365,1.525407615171395
33,24,-0.41948709417213365,-0.41948709417213365,-0.0,0.0,-0.41948709417213365,null
34,1,3.2698704264505483,3.2698704264505483,0.0,-0.0,3.2698704264505483,11.890437914365629
34,14,3.2698704264505483,3.2698704264505483,-0.0,0.0,3.2698704264505483,null
35,13,3.269870426450627,3.269870426450627,0.0,-0.0,3.269870426450627,11.890437914365915
35,24,3.269870426450627,3.269870426450627,-0.0,0.0,3.269870426450627,null
36,11,-2.6751643802644147,-2.6751643802644147,0.0,-0.0,-2.6751643802644147,9.72787047368878
36,24,-2.6751643802644147,-2.6751643802644147,-0.0,0.0,-2.6751643802644147,null
37,10,-2.0804858864487894,-2.0804858864487894,0.0,-0.0,-2.0804858864487894,7.565403223450143
37,23,-2.0804858864487894,-2.0804858864487894,-0.0,0.0,-2.0804858864487894,null
38,9,-1.486376831068202,-1.486376831068202,0.0,-0.0,-1.486376831068202,5.405006658429825
38,22,-1.486376831068202,-1.486376831068202,-0.0,0.0,-1.486376831068202,null
39,8,-0.8917785878424589,-0.8917785878424589,0.0,-0.0,-0.8917785878424589,3.2428312285180323
39,21,-0.8917785878424589,-0.8917785878424589,-0.0,0.0,-0.8917785878424589,null
40,7,-0.29730095422017605,-0.29730095422017605,0.0,-0.0,-0.29730095422017605,1.0810943789824583
40,20,-0.29730095422017605,-0.29730095422017605,-0.0,0.0,-0.29730095422017605,null
41,14,-2.675164380264385,-2.675164380264385,0.0,-0.0,-2.675164380264385,9.727870473688672
41,3,-2.675164380264385,-2.675164380264385,-0.0,0.0,-2.675164380264385,null
42,15,-2.080485886448762,-2.080485886448762,0.0,-0.0,-2.080485886448762,7.565403223450042
42,4,-2.080485886448762,-2.080485886448762,-0.0,0.0,-2.080485886448762,null
43,16,-1.4863768310680505,-1.4863768310680505,0.0,-0.0,-1.4863768310680505,5.405006658429274
43,5,-1.4863768310680505,-1.4863768310680505,-0.0,0.0,-1.4863768310680505,null
44,17,-0.8917785878424048,-0.8917785878424048,0.0,-0.0,-0.8917785878424048,3.2428312285178356
44,6,-0.8917785878424048,-0.8917785878424048,-0.0,0.0,-0.8917785878424048,null
45,18,-0.297300954220295,-0.297300954220295,0.0,-0.0,-0.297300954220295,1.0810943789828908
45,7,-0.297300954220295,-0.297300954220295,-0.0,0.0,-0.297300954220295,null
